security_id,loan_id,collateral_type,face_value,coupon_rate,payment_frequency,expected_payment,actual_payment,variance_amt,variance_pct,trust_requirement_flag,compliance_status
SEC-0001,LN-000861,Abs,110713.85,0.0631,Semi-Annual,3493.02,3493.02,0.0,0.0,False,COMPLIANT
SEC-0002,LN-001295,Cmo,29978.9,0.0512,Semi-Annual,767.46,767.46,0.0,0.0,False,COMPLIANT
SEC-0003,LN-001131,Abs,339413.04,0.0257,Quarterly,2180.73,2180.73,0.0,0.0,True,COMPLIANT
SEC-0004,LN-001096,Cmo,179127.16,0.0618,Monthly,922.5,922.5,0.0,0.0,False,COMPLIANT
SEC-0005,LN-001639,Clo,18619.06,0.0616,Monthly,95.58,95.58,0.0,0.0,True,COMPLIANT
SEC-0006,LN-002170,Cmo,133173.26,0.0333,Monthly,369.56,369.56,0.0,0.0,False,COMPLIANT
SEC-0007,LN-000467,Mbs,161570.12,0.0728,Semi-Annual,5881.15,5881.15,0.0,0.0,True,COMPLIANT
SEC-0008,LN-001239,Cmo,312250.8,0.0362,Monthly,941.96,941.96,0.0,0.0,False,COMPLIANT
SEC-0009,LN-000331,Mbs,94567.04,0.0479,Quarterly,1132.44,1132.44,0.0,0.0,False,COMPLIANT
SEC-0010,LN-001483,Cmo,212396.63,0.0307,Quarterly,1630.14,1630.14,0.0,0.0,False,COMPLIANT
SEC-0011,LN-002136,Clo,246412.97,0.0552,Quarterly,3400.5,3400.5,0.0,0.0,True,COMPLIANT
SEC-0012,LN-000131,Cmo,235026.32,0.0438,Semi-Annual,5147.08,5147.08,0.0,0.0,False,COMPLIANT
SEC-0013,LN-001686,Abs,487230.98,0.0427,Monthly,1733.73,1733.73,0.0,0.0,True,COMPLIANT
SEC-0014,LN-000770,Clo,32297.08,0.0663,Quarterly,535.32,535.32,0.0,0.0,False,COMPLIANT
SEC-0015,LN-002392,Clo,475974.41,0.0255,Monthly,1011.45,1011.45,0.0,0.0,False,COMPLIANT
SEC-0016,LN-001516,Abs,295149.23,0.0649,Monthly,1596.27,1596.27,0.0,0.0,False,COMPLIANT
SEC-0017,LN-002434,Clo,399906.58,0.0536,Monthly,1786.25,1786.25,0.0,0.0,False,COMPLIANT
SEC-0018,LN-001216,Clo,220892.38,0.0743,Monthly,1367.69,1367.69,0.0,0.0,True,COMPLIANT
SEC-0019,LN-000956,Abs,232380.56,0.0545,Quarterly,3166.19,3166.19,0.0,0.0,False,COMPLIANT
SEC-0020,LN-002325,Clo,440869.98,0.0278,Quarterly,3064.05,3064.05,0.0,0.0,True,COMPLIANT
SEC-0021,LN-001185,Clo,449007.9,0.0275,Monthly,1028.98,1028.98,0.0,0.0,False,COMPLIANT
SEC-0022,LN-000460,Clo,126957.55,0.0692,Monthly,732.12,732.12,0.0,0.0,False,COMPLIANT
SEC-0023,LN-000022,Clo,107628.52,0.0671,Quarterly,1805.47,1805.47,0.0,0.0,False,COMPLIANT
SEC-0024,LN-002301,Cmo,253155.24,0.0423,Semi-Annual,5354.23,5354.23,0.0,0.0,False,COMPLIANT
SEC-0025,LN-000748,Clo,451135.74,0.0559,Monthly,2101.54,2101.54,0.0,0.0,False,COMPLIANT
SEC-0026,LN-000475,Clo,167954.0,0.0495,Quarterly,2078.43,2078.43,0.0,0.0,False,COMPLIANT
SEC-0027,LN-001083,Clo,329487.16,0.0734,Quarterly,6046.09,6046.09,0.0,0.0,False,COMPLIANT
SEC-0028,LN-002048,Cmo,356994.33,0.0725,Quarterly,6470.52,6470.52,0.0,0.0,False,COMPLIANT
SEC-0029,LN-000976,Mbs,391550.59,0.0742,Monthly,2421.09,2421.09,0.0,0.0,False,COMPLIANT
SEC-0030,LN-001807,Clo,286322.98,0.0683,Quarterly,4888.96,4888.96,0.0,0.0,True,COMPLIANT
SEC-0031,LN-000190,Mbs,207203.04,0.0705,Quarterly,3651.95,3651.95,0.0,0.0,False,COMPLIANT
SEC-0032,LN-000563,Mbs,483837.83,0.0359,Quarterly,4342.44,4342.44,0.0,0.0,True,COMPLIANT
SEC-0033,LN-001900,Abs,309552.07,0.0666,Quarterly,5154.04,5154.04,0.0,0.0,False,COMPLIANT
SEC-0034,LN-001268,Abs,366996.95,0.0604,Semi-Annual,11083.31,11427.94,344.630000000001,0.031095,True,NON-COMPLIANT
SEC-0035,LN-001529,Mbs,179041.59,0.0731,Monthly,1090.66,1090.66,0.0,0.0,False,COMPLIANT
SEC-0036,LN-000647,Cmo,338275.1,0.0536,Semi-Annual,9065.77,9065.77,0.0,0.0,False,COMPLIANT
SEC-0037,LN-002069,Clo,136320.85,0.0293,Quarterly,998.55,998.55,0.0,0.0,True,COMPLIANT
SEC-0038,LN-002215,Clo,130097.49,0.0549,Quarterly,1785.59,1785.59,0.0,0.0,False,COMPLIANT
SEC-0039,LN-001298,Clo,360213.88,0.0593,Monthly,1780.06,1780.06,0.0,0.0,False,COMPLIANT
SEC-0040,LN-002436,Abs,265483.42,0.036,Monthly,796.45,796.45,0.0,0.0,True,COMPLIANT
SEC-0041,LN-000601,Abs,344805.54,0.0447,Quarterly,3853.2,3853.2,0.0,0.0,False,COMPLIANT
SEC-0042,LN-002364,Clo,142024.86,0.0549,Quarterly,1949.29,1949.29,0.0,0.0,True,COMPLIANT
SEC-0043,LN-002062,Mbs,303374.44,0.0437,Monthly,1104.79,1104.79,0.0,0.0,True,COMPLIANT
SEC-0044,LN-000242,Abs,227527.49,0.0437,Quarterly,2485.74,2485.74,0.0,0.0,False,COMPLIANT
SEC-0045,LN-002042,Clo,302510.54,0.0317,Monthly,799.13,799.13,0.0,0.0,False,COMPLIANT
SEC-0046,LN-001364,Mbs,152531.07,0.072,Semi-Annual,5491.12,5491.12,0.0,0.0,False,COMPLIANT
SEC-0047,LN-002140,Clo,360570.97,0.0625,Semi-Annual,11267.84,11267.84,0.0,0.0,False,COMPLIANT
SEC-0048,LN-001391,Abs,404905.39,0.0251,Monthly,846.93,846.93,0.0,0.0,False,COMPLIANT
SEC-0049,LN-001479,Cmo,137359.07,0.0633,Semi-Annual,4347.41,4347.41,0.0,0.0,False,COMPLIANT
SEC-0050,LN-000776,Cmo,157304.07,0.062,Semi-Annual,4876.43,4876.43,0.0,0.0,False,COMPLIANT
SEC-0051,LN-000035,Abs,333965.59,0.0255,Monthly,709.68,709.68,0.0,0.0,True,COMPLIANT
SEC-0052,LN-002254,Mbs,350836.74,0.0435,Quarterly,3815.35,4108.03,292.67999999999984,0.076711,False,NON-COMPLIANT
SEC-0053,LN-001956,Clo,355008.85,0.0553,Monthly,1636.0,1636.0,0.0,0.0,False,COMPLIANT
SEC-0054,LN-001586,Abs,344522.27,0.0476,Quarterly,4099.82,4099.82,0.0,0.0,False,COMPLIANT
SEC-0055,LN-001022,Mbs,202475.78,0.0639,Monthly,1078.18,1078.18,0.0,0.0,True,COMPLIANT
SEC-0056,LN-001130,Clo,203478.3,0.0463,Monthly,785.09,785.09,0.0,0.0,False,COMPLIANT
SEC-0057,LN-001501,Clo,134860.64,0.0327,Monthly,367.5,367.5,0.0,0.0,True,COMPLIANT
SEC-0058,LN-000703,Abs,86848.51,0.0738,Monthly,534.12,534.12,0.0,0.0,False,COMPLIANT
SEC-0059,LN-002450,Clo,349362.92,0.0371,Semi-Annual,6480.68,6480.68,0.0,0.0,False,COMPLIANT
SEC-0060,LN-001580,Cmo,55662.51,0.0609,Monthly,282.49,282.49,0.0,0.0,False,COMPLIANT
SEC-0061,LN-000162,Cmo,469518.22,0.0322,Monthly,1259.87,1259.87,0.0,0.0,False,COMPLIANT
SEC-0062,LN-000202,Clo,415076.29,0.0415,Semi-Annual,8612.83,8612.83,0.0,0.0,False,COMPLIANT
SEC-0063,LN-001982,Abs,430177.81,0.0471,Monthly,1688.45,1688.45,0.0,0.0,True,COMPLIANT
SEC-0064,LN-000996,Clo,454267.72,0.0346,Quarterly,3929.42,3929.42,0.0,0.0,False,COMPLIANT
SEC-0065,LN-002318,Abs,210216.44,0.0475,Semi-Annual,4992.64,4992.64,0.0,0.0,False,COMPLIANT
SEC-0066,LN-000816,Abs,424883.35,0.0329,Semi-Annual,6989.33,6989.33,0.0,0.0,False,COMPLIANT
SEC-0067,LN-000456,Cmo,87450.04,0.053,Monthly,386.24,386.24,0.0,0.0,False,COMPLIANT
SEC-0068,LN-001276,Cmo,20604.48,0.0582,Monthly,99.93,99.93,0.0,0.0,True,COMPLIANT
SEC-0069,LN-001017,Mbs,394596.78,0.0281,Semi-Annual,5544.08,5544.08,0.0,0.0,False,COMPLIANT
SEC-0070,LN-002344,Abs,46650.36,0.0686,Monthly,266.68,266.68,0.0,0.0,False,COMPLIANT
SEC-0071,LN-000338,Clo,494377.09,0.0343,Monthly,1413.09,1413.09,0.0,0.0,True,COMPLIANT
SEC-0072,LN-000879,Abs,340650.25,0.0363,Monthly,1030.47,1030.47,0.0,0.0,True,COMPLIANT
SEC-0073,LN-001077,Cmo,379190.36,0.0581,Monthly,1835.91,1835.91,0.0,0.0,False,COMPLIANT
SEC-0074,LN-000792,Abs,130443.89,0.0484,Quarterly,1578.37,1578.37,0.0,0.0,False,COMPLIANT
SEC-0075,LN-002265,Mbs,340194.04,0.05,Quarterly,4252.43,4252.43,0.0,0.0,False,COMPLIANT
SEC-0076,LN-000764,Clo,31177.77,0.0314,Semi-Annual,489.49,489.49,0.0,0.0,False,COMPLIANT
SEC-0077,LN-002236,Abs,420534.6,0.0653,Quarterly,6865.23,6865.23,0.0,0.0,False,COMPLIANT
SEC-0078,LN-000380,Clo,93115.81,0.0559,Monthly,433.76,433.76,0.0,0.0,False,COMPLIANT
SEC-0079,LN-000493,Clo,351705.45,0.0318,Monthly,932.02,932.02,0.0,0.0,False,COMPLIANT
SEC-0080,LN-001181,Cmo,119995.45,0.0437,Semi-Annual,2621.9,2621.9,0.0,0.0,True,COMPLIANT
SEC-0081,LN-002063,Abs,43542.05,0.0655,Monthly,237.67,237.67,0.0,0.0,False,COMPLIANT
SEC-0082,LN-000065,Clo,245931.9,0.0534,Monthly,1094.4,1094.4,0.0,0.0,True,COMPLIANT
SEC-0083,LN-001368,Cmo,92950.24,0.0304,Semi-Annual,1412.84,1412.84,0.0,0.0,False,COMPLIANT
SEC-0084,LN-001153,Mbs,367427.55,0.0436,Quarterly,4004.96,4004.96,0.0,0.0,False,COMPLIANT
SEC-0085,LN-002028,Mbs,126407.26,0.0371,Monthly,390.81,390.81,0.0,0.0,False,COMPLIANT
SEC-0086,LN-001496,Abs,177811.55,0.0509,Semi-Annual,4525.3,4525.3,0.0,0.0,True,COMPLIANT
SEC-0087,LN-001163,Clo,288045.23,0.0672,Semi-Annual,9678.32,9678.32,0.0,0.0,True,COMPLIANT
SEC-0088,LN-001523,Abs,149634.46,0.0468,Monthly,583.57,583.57,0.0,0.0,False,COMPLIANT
SEC-0089,LN-000392,Clo,195214.18,0.0467,Semi-Annual,4558.25,4558.25,0.0,0.0,False,COMPLIANT
SEC-0090,LN-001699,Cmo,409654.67,0.0703,Monthly,2399.89,2399.89,0.0,0.0,False,COMPLIANT
SEC-0091,LN-000419,Mbs,97812.83,0.0538,Quarterly,1315.58,1315.58,0.0,0.0,False,COMPLIANT
SEC-0092,LN-002337,Mbs,50278.78,0.0533,Semi-Annual,1339.93,1339.93,0.0,0.0,False,COMPLIANT
SEC-0093,LN-000379,Mbs,170895.31,0.0381,Semi-Annual,3255.56,3255.56,0.0,0.0,True,COMPLIANT
SEC-0094,LN-001797,Mbs,217944.62,0.0554,Monthly,1006.18,1006.18,0.0,0.0,True,COMPLIANT
SEC-0095,LN-002279,Abs,275903.05,0.0538,Monthly,1236.97,1236.97,0.0,0.0,True,COMPLIANT
SEC-0096,LN-002089,Clo,192487.61,0.0448,Monthly,718.62,718.62,0.0,0.0,False,COMPLIANT
SEC-0097,LN-002183,Abs,397056.73,0.0745,Quarterly,7395.18,7395.18,0.0,0.0,True,COMPLIANT
SEC-0098,LN-000201,Cmo,29266.55,0.0691,Monthly,168.53,168.53,0.0,0.0,True,COMPLIANT
SEC-0099,LN-001864,Mbs,221566.09,0.0625,Monthly,1153.99,1153.99,0.0,0.0,False,COMPLIANT
SEC-0100,LN-000780,Clo,197305.4,0.0519,Monthly,853.35,853.35,0.0,0.0,False,COMPLIANT
SEC-0001,LN-000503,Abs,327313.46,0.0481,Monthly,1311.98,1311.98,0.0,0.0,False,COMPLIANT
SEC-0002,LN-002455,Clo,483475.36,0.0342,Monthly,1377.9,1377.9,0.0,0.0,False,COMPLIANT
SEC-0003,LN-001752,Abs,260083.95,0.0403,Semi-Annual,5240.69,5240.69,0.0,0.0,True,COMPLIANT
SEC-0004,LN-000805,Clo,493569.66,0.0637,Monthly,2620.03,2620.03,0.0,0.0,False,COMPLIANT
SEC-0005,LN-002147,Clo,158102.2,0.0477,Monthly,628.46,628.46,0.0,0.0,True,COMPLIANT
SEC-0006,LN-001896,Mbs,25125.38,0.0691,Semi-Annual,868.08,868.08,0.0,0.0,False,COMPLIANT
SEC-0007,LN-001571,Abs,91174.95,0.0324,Quarterly,738.52,738.52,0.0,0.0,False,COMPLIANT
SEC-0008,LN-000961,Cmo,203611.19,0.0504,Monthly,855.17,855.17,0.0,0.0,False,COMPLIANT
SEC-0009,LN-001486,Clo,165003.62,0.0573,Monthly,787.89,787.89,0.0,0.0,False,COMPLIANT
