error_type,record_id,severity
DUPLICATE_PAYMENT,LN-000298,High
DUPLICATE_PAYMENT,LN-000439,High
DUPLICATE_PAYMENT,LN-000469,High
DUPLICATE_PAYMENT,LN-000536,High
DUPLICATE_PAYMENT,LN-000590,High
DUPLICATE_PAYMENT,LN-000608,High
DUPLICATE_PAYMENT,LN-000643,High
DUPLICATE_PAYMENT,LN-000656,High
DUPLICATE_PAYMENT,LN-000704,High
DUPLICATE_PAYMENT,LN-000768,High
DUPLICATE_PAYMENT,LN-000899,High
DUPLICATE_PAYMENT,LN-001194,High
DUPLICATE_PAYMENT,LN-001266,High
DUPLICATE_PAYMENT,LN-001277,High
DUPLICATE_PAYMENT,LN-001407,High
DUPLICATE_PAYMENT,LN-001550,High
DUPLICATE_PAYMENT,LN-001577,High
DUPLICATE_PAYMENT,LN-002010,High
DUPLICATE_PAYMENT,LN-002057,High
DUPLICATE_PAYMENT,LN-002263,High
DUPLICATE_PAYMENT,LN-002298,High
DUPLICATE_PAYMENT,LN-002369,High
DUPLICATE_PAYMENT,LN-002411,High
DUPLICATE_PAYMENT,LN-002500,High
REVERSED_STILL_ACTIVE,LN-000022,High
REVERSED_STILL_ACTIVE,LN-002301,High
REVERSED_STILL_ACTIVE,LN-000748,High
REVERSED_STILL_ACTIVE,LN-001083,High
REVERSED_STILL_ACTIVE,LN-000976,High
REVERSED_STILL_ACTIVE,LN-002215,High
REVERSED_STILL_ACTIVE,LN-001479,High
REVERSED_STILL_ACTIVE,LN-001022,High
REVERSED_STILL_ACTIVE,LN-000202,High
REVERSED_STILL_ACTIVE,LN-001699,High
REVERSED_STILL_ACTIVE,LN-000871,High
REVERSED_STILL_ACTIVE,LN-001039,High
REVERSED_STILL_ACTIVE,LN-000710,High
REVERSED_STILL_ACTIVE,LN-001999,High
REVERSED_STILL_ACTIVE,LN-000642,High
REVERSED_STILL_ACTIVE,LN-000123,High
REVERSED_STILL_ACTIVE,LN-000609,High
REVERSED_STILL_ACTIVE,LN-002451,High
REVERSED_STILL_ACTIVE,LN-001535,High
REVERSED_STILL_ACTIVE,LN-001844,High
REVERSED_STILL_ACTIVE,LN-001803,High
REVERSED_STILL_ACTIVE,LN-001301,High
REVERSED_STILL_ACTIVE,LN-002486,High
REVERSED_STILL_ACTIVE,LN-000547,High
REVERSED_STILL_ACTIVE,LN-000017,High
REVERSED_STILL_ACTIVE,LN-001070,High
REVERSED_STILL_ACTIVE,LN-001061,High
REVERSED_STILL_ACTIVE,LN-000685,High
REVERSED_STILL_ACTIVE,LN-002362,High
REVERSED_STILL_ACTIVE,LN-000992,High
REVERSED_STILL_ACTIVE,LN-000269,High
REVERSED_STILL_ACTIVE,LN-000636,High
REVERSED_STILL_ACTIVE,LN-001120,High
REVERSED_STILL_ACTIVE,LN-001213,High
REVERSED_STILL_ACTIVE,LN-000581,High
REVERSED_STILL_ACTIVE,LN-001349,High
REVERSED_STILL_ACTIVE,LN-001569,High
REVERSED_STILL_ACTIVE,LN-001904,High
REVERSED_STILL_ACTIVE,LN-001066,High
REVERSED_STILL_ACTIVE,LN-000733,High
REVERSED_STILL_ACTIVE,LN-001206,High
REVERSED_STILL_ACTIVE,LN-001354,High
REVERSED_STILL_ACTIVE,LN-000668,High
REVERSED_STILL_ACTIVE,LN-000853,High
REVERSED_STILL_ACTIVE,LN-002001,High
REVERSED_STILL_ACTIVE,LN-001470,High
REVERSED_STILL_ACTIVE,LN-002143,High
REVERSED_STILL_ACTIVE,LN-000205,High
REVERSED_STILL_ACTIVE,LN-000043,High
REVERSED_STILL_ACTIVE,LN-001754,High
REVERSED_STILL_ACTIVE,LN-001837,High
REVERSED_STILL_ACTIVE,LN-002363,High
REVERSED_STILL_ACTIVE,LN-002366,High
REVERSED_STILL_ACTIVE,LN-001852,High
REVERSED_STILL_ACTIVE,LN-002137,High
REVERSED_STILL_ACTIVE,LN-002344,High
REVERSED_STILL_ACTIVE,LN-002152,High
REVERSED_STILL_ACTIVE,LN-001472,High
REVERSED_STILL_ACTIVE,LN-001693,High
REVERSED_STILL_ACTIVE,LN-002205,High
REVERSED_STILL_ACTIVE,LN-002244,High
REVERSED_STILL_ACTIVE,LN-000517,High
REVERSED_STILL_ACTIVE,LN-002095,High
REVERSED_STILL_ACTIVE,LN-001431,High
REVERSED_STILL_ACTIVE,LN-000936,High
REVERSED_STILL_ACTIVE,LN-000537,High
REVERSED_STILL_ACTIVE,LN-000955,High
REVERSED_STILL_ACTIVE,LN-001108,High
REVERSED_STILL_ACTIVE,LN-001384,High
REVERSED_STILL_ACTIVE,LN-002162,High
REVERSED_STILL_ACTIVE,LN-000778,High
REVERSED_STILL_ACTIVE,LN-001791,High
REVERSED_STILL_ACTIVE,LN-000182,High
REVERSED_STILL_ACTIVE,LN-000237,High
REVERSED_STILL_ACTIVE,LN-001701,High
REVERSED_STILL_ACTIVE,LN-001623,High
REVERSED_STILL_ACTIVE,LN-000168,High
REVERSED_STILL_ACTIVE,LN-002041,High
REVERSED_STILL_ACTIVE,LN-001846,High
REVERSED_STILL_ACTIVE,LN-000039,High
REVERSED_STILL_ACTIVE,LN-000293,High
REVERSED_STILL_ACTIVE,LN-000226,High
REVERSED_STILL_ACTIVE,LN-000160,High
REVERSED_STILL_ACTIVE,LN-001138,High
REVERSED_STILL_ACTIVE,LN-001888,High
REVERSED_STILL_ACTIVE,LN-000516,High
REVERSED_STILL_ACTIVE,LN-000591,High
REVERSED_STILL_ACTIVE,LN-000349,High
REVERSED_STILL_ACTIVE,LN-002254,High
REVERSED_STILL_ACTIVE,LN-001260,High
REVERSED_STILL_ACTIVE,LN-000584,High
REVERSED_STILL_ACTIVE,LN-001568,High
REVERSED_STILL_ACTIVE,LN-001577,High
REVERSED_STILL_ACTIVE,LN-000106,High
REVERSED_STILL_ACTIVE,LN-001329,High
REVERSED_STILL_ACTIVE,LN-000635,High
REVERSED_STILL_ACTIVE,LN-000014,High
REVERSED_STILL_ACTIVE,LN-000971,High
REVERSED_STILL_ACTIVE,LN-000662,High
REVERSED_STILL_ACTIVE,LN-000903,High
REVERSED_STILL_ACTIVE,LN-000460,High
REVERSED_STILL_ACTIVE,LN-000862,High
REVERSED_STILL_ACTIVE,LN-001656,High
REVERSED_STILL_ACTIVE,LN-000620,High
REVERSED_STILL_ACTIVE,LN-000969,High
REVERSED_STILL_ACTIVE,LN-001317,High
REVERSED_STILL_ACTIVE,LN-000282,High
REVERSED_STILL_ACTIVE,LN-000490,High
REVERSED_STILL_ACTIVE,LN-000276,High
REVERSED_STILL_ACTIVE,LN-002150,High
REVERSED_STILL_ACTIVE,LN-000891,High
REVERSED_STILL_ACTIVE,LN-002447,High
REVERSED_STILL_ACTIVE,LN-000483,High
REVERSED_STILL_ACTIVE,LN-001547,High
REVERSED_STILL_ACTIVE,LN-001466,High
REVERSED_STILL_ACTIVE,LN-002002,High
REVERSED_STILL_ACTIVE,LN-000457,High
REVERSED_STILL_ACTIVE,LN-000124,High
REVERSED_STILL_ACTIVE,LN-000105,High
REVERSED_STILL_ACTIVE,LN-001675,High
REVERSED_STILL_ACTIVE,LN-001883,High
REVERSED_STILL_ACTIVE,LN-000496,High
REVERSED_STILL_ACTIVE,LN-000077,High
REVERSED_STILL_ACTIVE,LN-000283,High
REVERSED_STILL_ACTIVE,LN-000487,High
REVERSED_STILL_ACTIVE,LN-000613,High
REVERSED_STILL_ACTIVE,LN-000499,High
REVERSED_STILL_ACTIVE,LN-001262,High
REVERSED_STILL_ACTIVE,LN-000773,High
REVERSED_STILL_ACTIVE,LN-001346,High
REVERSED_STILL_ACTIVE,LN-001451,High
REVERSED_STILL_ACTIVE,LN-000359,High
REVERSED_STILL_ACTIVE,LN-000741,High
REVERSED_STILL_ACTIVE,LN-000479,High
NON_BUSINESS_DAY,LN-000002,Low
NON_BUSINESS_DAY,LN-000004,Low
NON_BUSINESS_DAY,LN-000006,Low
NON_BUSINESS_DAY,LN-000007,Low
NON_BUSINESS_DAY,LN-000009,Low
NON_BUSINESS_DAY,LN-000010,Low
NON_BUSINESS_DAY,LN-000012,Low
NON_BUSINESS_DAY,LN-000015,Low
NON_BUSINESS_DAY,LN-000017,Low
NON_BUSINESS_DAY,LN-000018,Low
NON_BUSINESS_DAY,LN-000020,Low
NON_BUSINESS_DAY,LN-000022,Low
NON_BUSINESS_DAY,LN-000024,Low
NON_BUSINESS_DAY,LN-000028,Low
NON_BUSINESS_DAY,LN-000030,Low
NON_BUSINESS_DAY,LN-000031,Low
NON_BUSINESS_DAY,LN-000032,Low
NON_BUSINESS_DAY,LN-000034,Low
NON_BUSINESS_DAY,LN-000035,Low
NON_BUSINESS_DAY,LN-000037,Low
NON_BUSINESS_DAY,LN-000039,Low
NON_BUSINESS_DAY,LN-000041,Low
NON_BUSINESS_DAY,LN-000044,Low
NON_BUSINESS_DAY,LN-000045,Low
NON_BUSINESS_DAY,LN-000046,Low
NON_BUSINESS_DAY,LN-000047,Low
NON_BUSINESS_DAY,LN-000049,Low
NON_BUSINESS_DAY,LN-000050,Low
NON_BUSINESS_DAY,LN-000051,Low
NON_BUSINESS_DAY,LN-000052,Low
NON_BUSINESS_DAY,LN-000055,Low
NON_BUSINESS_DAY,LN-000056,Low
NON_BUSINESS_DAY,LN-000058,Low
NON_BUSINESS_DAY,LN-000060,Low
NON_BUSINESS_DAY,LN-000061,Low
NON_BUSINESS_DAY,LN-000063,Low
NON_BUSINESS_DAY,LN-000065,Low
NON_BUSINESS_DAY,LN-000067,Low
NON_BUSINESS_DAY,LN-000068,Low
NON_BUSINESS_DAY,LN-000069,Low
NON_BUSINESS_DAY,LN-000073,Low
NON_BUSINESS_DAY,LN-000074,Low
NON_BUSINESS_DAY,LN-000075,Low
NON_BUSINESS_DAY,LN-000077,Low
NON_BUSINESS_DAY,LN-000080,Low
NON_BUSINESS_DAY,LN-000085,Low
NON_BUSINESS_DAY,LN-000086,Low
NON_BUSINESS_DAY,LN-000089,Low
NON_BUSINESS_DAY,LN-000090,Low
NON_BUSINESS_DAY,LN-000091,Low
NON_BUSINESS_DAY,LN-000092,Low
NON_BUSINESS_DAY,LN-000095,Low
NON_BUSINESS_DAY,LN-000096,Low
NON_BUSINESS_DAY,LN-000097,Low
NON_BUSINESS_DAY,LN-000098,Low
NON_BUSINESS_DAY,LN-000099,Low
NON_BUSINESS_DAY,LN-000101,Low
NON_BUSINESS_DAY,LN-000104,Low
NON_BUSINESS_DAY,LN-000106,Low
NON_BUSINESS_DAY,LN-000108,Low
NON_BUSINESS_DAY,LN-000109,Low
NON_BUSINESS_DAY,LN-000110,Low
NON_BUSINESS_DAY,LN-000115,Low
NON_BUSINESS_DAY,LN-000118,Low
NON_BUSINESS_DAY,LN-000119,Low
NON_BUSINESS_DAY,LN-000120,Low
NON_BUSINESS_DAY,LN-000121,Low
NON_BUSINESS_DAY,LN-000122,Low
NON_BUSINESS_DAY,LN-000123,Low
NON_BUSINESS_DAY,LN-000125,Low
NON_BUSINESS_DAY,LN-000126,Low
NON_BUSINESS_DAY,LN-000127,Low
NON_BUSINESS_DAY,LN-000129,Low
NON_BUSINESS_DAY,LN-000130,Low
NON_BUSINESS_DAY,LN-000131,Low
NON_BUSINESS_DAY,LN-000132,Low
NON_BUSINESS_DAY,LN-000135,Low
NON_BUSINESS_DAY,LN-000136,Low
NON_BUSINESS_DAY,LN-000138,Low
NON_BUSINESS_DAY,LN-000143,Low
NON_BUSINESS_DAY,LN-000146,Low
NON_BUSINESS_DAY,LN-000154,Low
NON_BUSINESS_DAY,LN-000158,Low
NON_BUSINESS_DAY,LN-000162,Low
NON_BUSINESS_DAY,LN-000163,Low
NON_BUSINESS_DAY,LN-000164,Low
NON_BUSINESS_DAY,LN-000166,Low
NON_BUSINESS_DAY,LN-000167,Low
NON_BUSINESS_DAY,LN-000172,Low
NON_BUSINESS_DAY,LN-000175,Low
NON_BUSINESS_DAY,LN-000180,Low
NON_BUSINESS_DAY,LN-000185,Low
