security_id,loan_id,collateral_type,face_value,coupon_rate,payment_frequency,next_payment_date,calculated_payment,trust_requirement_flag
SEC-0001,LN-000861,ABS,110713.85,0.0631,Semi-Annual,2026-06-17,3493.02,False
SEC-0002,LN-001295,CMO,29978.9,0.0512,Semi-Annual,2026-12-06,767.46,False
SEC-0003,LN-001131,ABS,339413.04,0.0257,Quarterly,2026-04-18,2180.73,True
SEC-0004,LN-001096,CMO,179127.16,0.0618,Monthly,2026-11-28,922.5,False
SEC-0005,LN-001639,CLO,18619.06,0.0616,Monthly,2026-06-04,95.58,True
SEC-0006,LN-002170,CMO,133173.26,0.0333,Monthly,2026-10-13,369.56,False
SEC-0007,LN-000467,MBS,161570.12,0.0728,Semi-Annual,2026-12-18,5881.15,True
SEC-0008,LN-001239,CMO,312250.8,0.0362,Monthly,2026-12-14,941.96,False
SEC-0009,LN-000331,MBS,94567.04,0.0479,Quarterly,2026-10-07,1132.44,False
SEC-0010,LN-001483,CMO,212396.63,0.0307,Quarterly,2026-05-01,1630.14,False
SEC-0011,LN-002136,CLO,246412.97,0.0552,Quarterly,2026-09-09,3400.5,True
SEC-0012,LN-000131,CMO,235026.32,0.0438,Semi-Annual,2026-07-06,5147.08,False
SEC-0013,LN-001686,ABS,487230.98,0.0427,Monthly,2026-07-02,1733.73,True
SEC-0014,LN-000770,CLO,32297.08,0.0663,Quarterly,2026-08-31,535.32,False
SEC-0015,LN-002392,CLO,475974.41,0.0255,Monthly,2026-08-31,1011.45,False
SEC-0016,LN-001516,ABS,295149.23,0.0649,Monthly,2026-09-15,1596.27,False
SEC-0017,LN-002434,CLO,399906.58,0.0536,Monthly,2026-08-12,1786.25,False
SEC-0018,LN-001216,CLO,220892.38,0.0743,Monthly,2026-07-04,1367.69,True
SEC-0019,LN-000956,ABS,232380.56,0.0545,Quarterly,2026-12-11,3166.19,False
SEC-0020,LN-002325,CLO,440869.98,0.0278,Quarterly,2026-11-13,3064.05,True
SEC-0021,LN-001185,CLO,449007.9,0.0275,Monthly,2026-12-27,1028.98,False
SEC-0022,LN-000460,CLO,126957.55,0.0692,Monthly,2026-03-19,732.12,False
SEC-0023,LN-000022,CLO,107628.52,0.0671,Quarterly,2026-05-12,1805.47,False
SEC-0024,LN-002301,CMO,253155.24,0.0423,Semi-Annual,2026-09-08,5354.23,False
SEC-0025,LN-000748,CLO,451135.74,0.0559,Monthly,2026-10-29,2101.54,False
SEC-0026,LN-000475,CLO,167954.0,0.0495,Quarterly,2026-07-16,2078.43,False
SEC-0027,LN-001083,CLO,329487.16,0.0734,Quarterly,2026-07-17,6046.09,False
SEC-0028,LN-002048,CMO,356994.33,0.0725,Quarterly,2026-04-04,6470.52,False
SEC-0029,LN-000976,MBS,391550.59,0.0742,Monthly,2026-08-26,2421.09,False
SEC-0030,LN-001807,CLO,286322.98,0.0683,Quarterly,2026-09-26,4888.96,True
SEC-0031,LN-000190,MBS,207203.04,0.0705,Quarterly,2026-05-12,3651.95,False
SEC-0032,LN-000563,MBS,483837.83,0.0359,Quarterly,2026-09-28,4342.44,True
SEC-0033,LN-001900,ABS,309552.07,0.0666,Quarterly,2026-07-24,5154.04,False
SEC-0034,LN-001268,ABS,366996.95,0.0604,Semi-Annual,2026-12-16,11427.94,True
SEC-0035,LN-001529,MBS,179041.59,0.0731,Monthly,2026-08-06,1090.66,False
SEC-0036,LN-000647,CMO,338275.1,0.0536,Semi-Annual,2026-03-27,9065.77,False
SEC-0037,LN-002069,CLO,136320.85,0.0293,Quarterly,2026-12-04,998.55,True
SEC-0038,LN-002215,CLO,130097.49,0.0549,Quarterly,2026-09-22,1785.59,False
SEC-0039,LN-001298,CLO,360213.88,0.0593,Monthly,2026-12-03,1780.06,False
SEC-0040,LN-002436,ABS,265483.42,0.036,Monthly,2026-11-30,796.45,True
SEC-0041,LN-000601,ABS,344805.54,0.0447,Quarterly,2026-10-29,3853.2,False
SEC-0042,LN-002364,CLO,142024.86,0.0549,Quarterly,2026-11-19,1949.29,True
SEC-0043,LN-002062,MBS,303374.44,0.0437,Monthly,2026-04-06,1104.79,True
SEC-0044,LN-000242,ABS,227527.49,0.0437,Quarterly,2026-08-13,2485.74,False
SEC-0045,LN-002042,CLO,302510.54,0.0317,Monthly,2026-06-21,799.13,False
SEC-0046,LN-001364,MBS,152531.07,0.072,Semi-Annual,2026-08-26,5491.12,False
SEC-0047,LN-002140,CLO,360570.97,0.0625,Semi-Annual,2026-12-03,11267.84,False
SEC-0048,LN-001391,ABS,404905.39,0.0251,Monthly,2026-04-26,846.93,False
SEC-0049,LN-001479,CMO,137359.07,0.0633,Semi-Annual,2026-05-03,4347.41,False
SEC-0050,LN-000776,CMO,157304.07,0.062,Semi-Annual,2026-06-08,4876.43,False
SEC-0051,LN-000035,ABS,333965.59,0.0255,Monthly,2026-12-15,709.68,True
