remittance_id,loan_id,remittance_date,remittance_amount,servicer_name,wire_reference,trust_account_id,remittance_status
REM-000001,LN-000861,2025-07-10,38888.62,Byrd-Rangel,WIRE-F4948F864DB9,TRU-002,Unmatched
REM-000002,LN-001295,2025-08-05,22595.1,Haney Ltd,WIRE-3B937EEF3B47,TRU-006,Unmatched
REM-000003,LN-001131,2025-11-03,36309.3,Nixon LLC,WIRE-6DE6BE10A42C,TRU-008,Matched
REM-000004,LN-001096,2025-07-29,9238.14,Dawson-Rush,WIRE-268FF8F36AB0,TRU-008,Matched
REM-000005,LN-001639,2025-06-03,49627.93,Gomez Group,WIRE-5FE2BEFE1CBA,TRU-007,Matched
REM-000006,LN-002170,2025-09-23,16592.65,Howell PLC,WIRE-56638A134B93,TRU-010,Matched
REM-000007,LN-000467,2026-02-24,14642.75,Frey-Diaz,WIRE-214B1E47E352,TRU-004,Matched
REM-000008,LN-001239,2025-07-18,48425.57,Lee-Ramirez,WIRE-50A2D11E1680,TRU-007,In-Review
REM-000009,LN-000331,2025-06-22,18120.65,"Strong, Johnson and Flores",WIRE-A28E4E8DBCED,TRU-010,Matched
REM-000010,LN-001483,2025-12-06,27452.21,Williams and Sons,WIRE-D2D4DEF9A3C0,TRU-006,Matched
REM-000011,LN-002136,2025-09-13,44567.77,"Parker, Cole and Hamilton",WIRE-6906160CDEA4,TRU-006,Matched
REM-000012,LN-000131,2025-12-03,21161.84,Nelson Ltd,WIRE-22CB2E1D5D1E,TRU-002,Unmatched
REM-000013,LN-001686,2025-09-25,43169.72,Hopkins-Cook,WIRE-90D54FAC58AF,TRU-008,Matched
REM-000014,LN-000770,2025-09-25,41152.24,Anderson PLC,WIRE-B11EE074526E,TRU-008,Matched
REM-000015,LN-002392,2026-02-15,0.0,Navarro Inc,WIRE-AE9F50BEE256,TRU-007,Matched
REM-000016,LN-001516,2026-01-11,874.36,James-Conway,WIRE-89806C76FC53,TRU-009,Matched
REM-000017,LN-002434,2025-11-30,14776.07,Price-Dominguez,WIRE-89106EEB7258,TRU-008,Unmatched
REM-000018,LN-001216,2026-02-06,11428.1,Terry-Rogers,WIRE-305602D65824,TRU-009,Matched
REM-000019,LN-000956,2025-08-18,19465.36,"Nash, Mueller and Russell",WIRE-E1C2CB44E37D,TRU-009,Unmatched
REM-000020,LN-002325,2025-07-19,41277.62,Anderson-Reed,WIRE-B87DC1FED602,TRU-006,Matched
REM-000021,LN-001185,2025-05-09,5574.23,Tran-Burns,WIRE-87FD6AEEFF97,TRU-002,Matched
REM-000022,LN-000460,2025-06-10,6381.49,Miller-Cole,WIRE-4D13D917735F,TRU-007,Unmatched
REM-000023,LN-000022,2025-12-28,0.0,"Miller, Wade and Flores",WIRE-ED34CA7B22B2,TRU-003,Matched
REM-000024,LN-002301,2026-01-23,42779.41,"Huang, Johnson and Anderson",WIRE-FD80CB3BBDAA,TRU-007,Matched
